time_unit,real_y,synth_y,unit_name,difference,control,pre_mspe,post_mspe,mspe_ratio,pre_rmspe,post_rmspe,rmspe_ratio
2023-11-01,3.3,3.2582470903226115,Lee,0.04175290967738832,Lee,0.0033263223826755887,0.3669984251321436,110.33158633197232,0.05767427834551195,0.6058039494194005,182.1242440524093
2023-12-01,3.1,3.1197181384127677,Lee,-0.019718138412767594,Lee,0.0033263223826755887,0.3669984251321436,110.33158633197232,0.05767427834551195,0.6058039494194005,182.1242440524093
2021-01-01,5.2,5.074595570645897,Bay,0.125404429354103,control units,0.01704329267739326,0.016976616883572646,0.9960878572537185,0.13054996237989983,0.130294347089859,7.644904629413855
2021-02-01,4.8,4.678798709616643,Bay,0.12120129038335659,control units,0.01704329267739326,0.016976616883572646,0.9960878572537185,0.13054996237989983,0.130294347089859,7.644904629413855
2021-03-01,4.4,4.422072570137143,Bay,-0.022072570137142478,control units,0.01704329267739326,0.016976616883572646,0.9960878572537185,0.13054996237989983,0.130294347089859,7.644904629413855
2021-04-01,4.1,4.111510204806989,Bay,-0.011510204806989499,control units,0.01704329267739326,0.016976616883572646,0.9960878572537185,0.13054996237989983,0.130294347089859,7.644904629413855
2021-05-01,3.9,3.9452424716368046,Bay,-0.045242471636804726,control units,0.01704329267739326,0.016976616883572646,0.9960878572537185,0.13054996237989983,0.130294347089859,7.644904629413855
2021-06-01,4.4,4.5834141847400405,Bay,-0.18341418474004012,control units,0.01704329267739326,0.016976616883572646,0.9960878572537185,0.13054996237989983,0.130294347089859,7.644904629413855
2021-07-01,4.2,4.423550709910391,Bay,-0.2235507099103904,control units,0.01704329267739326,0.016976616883572646,0.9960878572537185,0.13054996237989983,0.130294347089859,7.644904629413855
2021-08-01,4,4.232472883317158,Bay,-0.23247288331715765,control units,0.01704329267739326,0.016976616883572646,0.9960878572537185,0.13054996237989983,0.130294347089859,7.644904629413855
2021-09-01,3.6,3.8111487185216326,Bay,-0.21114871852163253,control units,0.01704329267739326,0.016976616883572646,0.9960878572537185,0.13054996237989983,0.130294347089859,7.644904629413855
2021-10-01,3.5,3.6063329042219063,Bay,-0.10633290422190633,control units,0.01704329267739326,0.016976616883572646,0.9960878572537185,0.13054996237989983,0.130294347089859,7.644904629413855
2021-11-01,3.4,3.4605603999693546,Bay,-0.060560399969354695,control units,0.01704329267739326,0.016976616883572646,0.9960878572537185,0.13054996237989983,0.130294347089859,7.644904629413855
2021-12-01,3.1,3.0323553635062717,Bay,0.06764463649372843,control units,0.01704329267739326,0.016976616883572646,0.9960878572537185,0.13054996237989983,0.130294347089859,7.644904629413855
2022-01-01,3.9,3.687082726377796,Bay,0.21291727362220403,control units,0.01704329267739326,0.016976616883572646,0.9960878572537185,0.13054996237989983,0.130294347089859,7.644904629413855
2022-02-01,3.3,3.226943870884255,Bay,0.073056129115745,control units,0.01704329267739326,0.016976616883572646,0.9960878572537185,0.13054996237989983,0.130294347089859,7.644904629413855
2022-03-01,2.9,2.953687933570963,Bay,-0.05368793357096324,control units,0.01704329267739326,0.016976616883572646,0.9960878572537185,0.13054996237989983,0.130294347089859,7.644904629413855
2022-04-01,2.5,2.6204074537976974,Bay,-0.12040745379769735,control units,0.01704329267739326,0.016976616883572646,0.9960878572537185,0.13054996237989983,0.130294347089859,7.644904629413855
2022-05-01,2.6,2.655836486939524,Bay,-0.05583648693952403,control units,0.01704329267739326,0.016976616883572646,0.9960878572537185,0.13054996237989983,0.130294347089859,7.644904629413855
2022-06-01,3,3.075927612060946,Bay,-0.075927612060946,control units,0.01704329267739326,0.016976616883572646,0.9960878572537185,0.13054996237989983,0.130294347089859,7.644904629413855
2022-07-01,2.9,2.978895393332256,Bay,-0.07889539333225626,control units,0.01704329267739326,0.016976616883572646,0.9960878572537185,0.13054996237989983,0.130294347089859,7.644904629413855
2022-08-01,2.8,2.968975064250486,Bay,-0.16897506425048636,control units,0.01704329267739326,0.016976616883572646,0.9960878572537185,0.13054996237989983,0.130294347089859,7.644904629413855
2022-09-01,2.7,2.8064064063616136,Bay,-0.10640640636161347,control units,0.01704329267739326,0.016976616883572646,0.9960878572537185,0.13054996237989983,0.130294347089859,7.644904629413855
2022-10-01,2.6,2.8150750621308624,Bay,-0.21507506213086236,control units,0.01704329267739326,0.016976616883572646,0.9960878572537185,0.13054996237989983,0.130294347089859,7.644904629413855
2022-11-01,2.8,2.810745013788944,Bay,-0.010745013788944213,control units,0.01704329267739326,0.016976616883572646,0.9960878572537185,0.13054996237989983,0.130294347089859,7.644904629413855
2022-12-01,2.5,2.51795240136884,Bay,-0.017952401368840132,control units,0.01704329267739326,0.016976616883572646,0.9960878572537185,0.13054996237989983,0.130294347089859,7.644904629413855
2023-01-01,3.1,2.9344913163970365,Bay,0.16550868360296356,control units,0.01704329267739326,0.016976616883572646,0.9960878572537185,0.13054996237989983,0.130294347089859,7.644904629413855
2023-02-01,2.8,2.791812251395475,Bay,0.00818774860452498,control units,0.01704329267739326,0.016976616883572646,0.9960878572537185,0.13054996237989983,0.130294347089859,7.644904629413855
2023-03-01,2.6,2.6893738846078152,Bay,-0.08937388460781515,control units,0.01704329267739326,0.016976616883572646,0.9960878572537185,0.13054996237989983,0.130294347089859,7.644904629413855
2023-04-01,2.3,2.390240923449443,Bay,-0.09024092344944323,control units,0.01704329267739326,0.016976616883572646,0.9960878572537185,0.13054996237989983,0.130294347089859,7.644904629413855
2023-05-01,2.6,2.71327832558706,Bay,-0.11327832558705975,control units,0.01704329267739326,0.016976616883572646,0.9960878572537185,0.13054996237989983,0.130294347089859,7.644904629413855
2023-06-01,2.9,3.0673903911792726,Bay,-0.16739039117927268,control units,0.01704329267739326,0.016976616883572646,0.9960878572537185,0.13054996237989983,0.130294347089859,7.644904629413855
2023-07-01,3,3.0827936827999607,Bay,-0.08279368279996069,control units,0.01704329267739326,0.016976616883572646,0.9960878572537185,0.13054996237989983,0.130294347089859,7.644904629413855
2023-08-01,3.1,3.2964940821812783,Bay,-0.19649408218127817,control units,0.01704329267739326,0.016976616883572646,0.9960878572537185,0.13054996237989983,0.130294347089859,7.644904629413855
2023-09-01,3.1,3.255065565615122,Bay,-0.15506556561512186,control units,0.01704329267739326,0.016976616883572646,0.9960878572537185,0.13054996237989983,0.130294347089859,7.644904629413855
2023-10-01,3.1,3.293477421500472,Bay,-0.19347742150047198,control units,0.01704329267739326,0.016976616883572646,0.9960878572537185,0.13054996237989983,0.130294347089859,7.644904629413855
2023-11-01,3.1,3.20809581439023,Bay,-0.10809581439022997,control units,0.01704329267739326,0.016976616883572646,0.9960878572537185,0.13054996237989983,0.130294347089859,7.644904629413855
2023-12-01,3.1,3.030120388759171,Bay,0.06987961124082931,control units,0.01704329267739326,0.016976616883572646,0.9960878572537185,0.13054996237989983,0.130294347089859,7.644904629413855
2021-01-01,6.5,6.296478009609,Citrus,0.20352199039099972,control units,0.015659908362003167,0.01744009613715631,1.1136780454905182,0.1251395555450121,0.1320609561420646,8.433060595839384
2021-02-01,6.1,5.902814236302997,Citrus,0.1971857636970027,control units,0.015659908362003167,0.01744009613715631,1.1136780454905182,0.1251395555450121,0.1320609561420646,8.433060595839384
2021-03-01,6,5.935694437686573,Citrus,0.06430556231342699,control units,0.015659908362003167,0.01744009613715631,1.1136780454905182,0.1251395555450121,0.1320609561420646,8.433060595839384
