time_unit,real_y,synth_y
2021-01-01,5.3,5.2999962248616805
2021-02-01,4.8,4.862653875984579
2021-03-01,4.7,4.7778840342616284
2021-04-01,4.5,4.461921969733567
2021-05-01,4.4,4.301022441491473
2021-06-01,5,5.012760698556082
2021-07-01,4.8,4.800000355510213
2021-08-01,4.6,4.592593446960916
2021-09-01,4.2,4.131190228363923
2021-10-01,3.9,3.863502403708299
2021-11-01,3.7,3.7032963713543112
2021-12-01,3.1,3.2095720371669905
2022-01-01,3.9,3.9313981901942037
2022-02-01,3.3,3.4548613652603755
2022-03-01,3,3.133066484366438
2022-04-01,2.8,2.8073918511294056
2022-05-01,2.9,2.922527806002595
2022-06-01,3.3,3.4188688244663505
2022-07-01,3.2,3.219944285919425
2022-08-01,3.2,3.2632502124448592
2022-09-01,3,3.1164966549624693
2022-10-01,4.7,3.0728484172647077
2022-11-01,4.2,3.0379597438838992
2022-12-01,3.4,2.6893864696941177
2023-01-01,3.5,3.1849952869390328
2023-02-01,3.2,3.057279286725317
2023-03-01,3.1,2.975080447495631
2023-04-01,2.7,2.6505287322269413
2023-05-01,3.1,2.978312191640888
2023-06-01,3.4,3.414186104114365
2023-07-01,3.4,3.4800118750846036
2023-08-01,3.6,3.672838655216572
2023-09-01,3.5,3.634692251359988
2023-10-01,3.5,3.530239975081656
2023-11-01,3.3,3.3871357527267163
2023-12-01,3.1,3.2244996187659694
