time_unit,real_y,synth_y
2021-01-01,5.3,5.300000245244281
2021-02-01,4.8,4.843663579652514
2021-03-01,4.7,4.7433385045472525
2021-04-01,4.5,4.443200881866941
2021-05-01,4.4,4.282705396702625
2021-06-01,5,4.926031489116169
2021-07-01,4.8,4.712831671090057
2021-08-01,4.6,4.499796212126398
2021-09-01,4.2,4.0997630682007005
2021-10-01,3.9,3.8001092439438917
2021-11-01,3.7,3.700075555344112
2021-12-01,3.1,3.187078424388029
2022-01-01,3.9,3.8869032504892997
2022-02-01,3.3,3.3870860658062627
2022-03-01,3,3.0912006647636905
2022-04-01,2.8,2.8305106731741634
2022-05-01,2.9,2.8740232254431874
2022-06-01,3.3,3.399952193753314
2022-07-01,3.2,3.2171705998393643
2022-08-01,3.2,3.1999999156061176
2022-09-01,3,3.017330046729957
2022-10-01,4.7,3.052662829068269
2022-11-01,4.2,3.013510232429734
2022-12-01,3.4,2.613558275147009
2023-01-01,3.5,3.156832283861464
2023-02-01,3.2,3.0174885794186577
2023-03-01,3.1,2.874052694011253
2023-04-01,2.7,2.617361626450364
2023-05-01,3.1,2.956706271654556
2023-06-01,3.4,3.382817206088565
2023-07-01,3.4,3.4000193207605136
2023-08-01,3.6,3.6432899446433664
2023-09-01,3.5,3.5040156449149946
2023-10-01,3.5,3.4568817342693694
2023-11-01,3.3,3.317567344306426
2023-12-01,3.1,3.2175163478833317
