time_unit,real_y,synth_y
2021-01-01,5.3,5.300121675174273
2021-02-01,4.8,4.8472674281052175
2021-03-01,4.7,4.720118844366881
2021-04-01,4.5,4.471641970199077
2021-05-01,4.4,4.296275320744421
2021-06-01,5,4.962583012510678
2021-07-01,4.8,4.734232563816187
2021-08-01,4.6,4.532021094812743
2021-09-01,4.2,4.109730654538289
2021-10-01,3.9,3.8463073541579518
2021-11-01,3.7,3.657216683136827
2021-12-01,3.1,3.176047069890081
2022-01-01,3.9,3.8381268944658347
2022-02-01,3.3,3.3883573345314066
2022-03-01,3,3.0897137745227847
2022-04-01,2.8,2.7771171002820867
2022-05-01,2.9,2.862991862442013
2022-06-01,3.3,3.330685863040019
2022-07-01,3.2,3.149177417823141
2022-08-01,3.2,3.1999832597563547
2022-09-01,3,3.0394664504418607
2022-10-01,4.7,2.9986483674549844
2022-11-01,4.2,2.939139811703725
2022-12-01,3.4,2.59598917014061
2023-01-01,3.5,3.0813309013061327
2023-02-01,3.2,2.967206120488895
2023-03-01,3.1,2.8801553247500014
2023-04-01,2.7,2.5699932064633684
2023-05-01,3.1,2.8820309284268353
2023-06-01,3.4,3.2823815667472975
2023-07-01,3.4,3.331420843171866
2023-08-01,3.6,3.5454976210838525
2023-09-01,3.5,3.5084953653322777
2023-10-01,3.5,3.409201241345194
2023-11-01,3.3,3.2582470903226115
2023-12-01,3.1,3.1197181384127677
